Dresses,Dresses_href,Blouses,Blouses_href,Jeans,Jeans_href,Jackets_Outwear,Jackets_Outwear_href,Jumpsuits_Jumpers,Jumpsuits_Jumpers_href,Swimsuit,Swimsuit_href,Link,Link_href,Garment_Name,Prices_before_and_after,Description1,Description2,Description3,Description4,Description5,Description6,Color,Sizes,SKU_code
,,,,,,,,,,Swimsuits,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/swimsuits/,"Modest Off Shoulder Swimsuit
	Sale!
	$79.00 $55.00",http://www.voluptuousclothing.com/product/swimsuit-plus-size-full/,Modest Off Shoulder Swimsuit,$79.00 $55.00,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,80% Nylon 20% Spandex,Choose an optionBlackBluePurple,Choose an option121416,1234
,,Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,"Off Shoulder Blouse
	Sale!
	$55.00 $38.00",http://www.voluptuousclothing.com/product/black-ivory-ruffle-trim-off-shoulder-blouse/,Off Shoulder Blouse,$55.00 $38.00,"Simple and chic and most of all, so versatile!! Lightweight for those hot summer days, this off should blouse will definitely be one of your most popular go to pieces. ´è_´è_Available in both black and ivory.",Fabric Contents: 100% Polyester,Curvy Cut,null,null,null,Choose an optionIvory,Choose an option1X2X3X,ZB8087
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"High Rise Damaged Bermuda Shorts
	Sale!
	$79.99 $55.00",http://www.voluptuousclothing.com/product/high-rise-damaged-bermuda-shorts/,High Rise Damaged Bermuda Shorts,$79.99 $55.00,null,null,null,null,null,null,Choose an optionJean,Choose an option1X2X3X,4222X
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Lace Trim Slip Dress
	Sale!
	$89.99 $59.99",http://www.voluptuousclothing.com/product/lace-trim-slip-dress/,Lace Trim Slip Dress,$89.99 $59.99,#NAME?,#NAME?,#NAME?,#NAME?,"Dress 97% Polyester , 3% Spandex",null,Choose an optionBlack,Choose an option1X2X3X,LMD11
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Choker Trim Mini Dress
	Sale!
	$75.00 $49.99",http://www.voluptuousclothing.com/product/mini-dress/,Choker Trim Mini Dress,$75.00 $49.99,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Dress 100% Polyester,Choose an optionMagenta,Choose an option2X3X,ZB8833
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Gathered Sexy Mini Dress
	Sale!
	$69.99 $49.99",http://www.voluptuousclothing.com/product/mini-dress-2/,Gathered Sexy Mini Dress,$69.99 $49.99,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,"Dress 92% Polyester, 8% Spandex",Choose an optionBlack,Choose an option1X2X3X,CD51488P
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Sheer Maxi Dress
	Sale!
	$115.00 $79.99",http://www.voluptuousclothing.com/product/sheer-maxi-dress/,Sheer Maxi Dress,$115.00 $79.99,#NAME?,100 % Polyester,null,null,null,null,Choose an optionCoral,Choose an option1X2X3X,PL14960S0-1
,,Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,"Flawless Crop Top
	Sale!
	$35.00 $25.00",http://www.voluptuousclothing.com/product/flawless-crop-top/,Flawless Crop Top,$35.00 $25.00,#NAME?,#NAME?,#NAME?,#NAME?,"95% Rayon, 5% Spandex",null,Choose an optionBlackWhite,Choose an option1X2X3X,TK2569
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Floral Print Off Shoulder Bodycon Dress
	Sale!
	$79.99 $59.00",http://www.voluptuousclothing.com/product/floral-print-off-shoulder-bodycon-dress/,Floral Print Off Shoulder Bodycon Dress,$79.99 $59.00,#NAME?,95% Polyester 5% Spandex,null,null,null,null,Choose an optionBlue,Choose an option1X2X3X,xd-22115m
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"High Rise Damaged Bermuda
	Sale!
	$69.99 $48.00",http://www.voluptuousclothing.com/product/high-rise-damaged-bermuda/,High Rise Damaged Bermuda,$69.99 $48.00,#NAME?,#NAME?,#NAME?,-5 pocket style,"98% cotton , 2% spandex",null,Choose an optionWhite,Choose an option2X3X,7003F3
