tops,tops_href,dresses,dresses_href,bottoms,bottoms_href,outwear,outwear_href,swimwear,swimwear_href,jumpsuit,jumpsuit_href,link,link_href,name,picture_src,priceall,pricebefore,priceafter,description1,description2,color,size,itemcode
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Print Off Shoulder Dress
	Sale!
	$75.00 $52.50",http://www.voluptuousclothing.com/product/print-off-shoulder-dress/,Print Off Shoulder Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9385-700x1050.jpg,$75.00 $52.50,$75.00 ,$52.50 ,"-Print off shoulder dress
-3/4 length
-Ruffled off shoulder collar
94% Polyester 6% Spandex",null,Choose an optionWhite,Choose an option1X2X,1352BC
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"Camouflage Jogger Pants
	Sale!
	$79.99 $56.00",http://www.voluptuousclothing.com/product/camouflage-jogger-pants/,Camouflage Jogger Pants,http://www.voluptuousclothing.com/wp-content/uploads/2017/01/178A3391r-550x825.jpg,$79.99 $56.00,$79.99 ,$56.00 ,Update your wardrobeξwith this camouflage jogger pant. This pant is great to wear out for a ξfun or casual afternoon. Our jogger army camouflage pants featureξan elastic waist & hemline. The waist is also adjustable to suit a variety of curvy shapes.,"98% Cotton, 2% spandex",Choose an optionMulti,Choose an option2X,AB84774CP
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Faux Leather Dress
	Sale!
	$85.00 $59.50",http://www.voluptuousclothing.com/product/faux-leather-dress/,Faux Leather Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9487-700x1050.jpg,$85.00 $59.50,$85.00 ,$59.50 ,"-Faux leather dress
-Padded Bra cups
-Adjustable straps
-Zipper back opening
95% Polyester, 5% Spandex",null,Choose an optionBlack,Choose an option1X3X,Pl101134
Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,,,"Choker Trim Cold Shoulder Blouse
	Sale!
	$55.00 $38.00",http://www.voluptuousclothing.com/product/choker-trim-cold-shoulder-blouse/,Choker Trim Cold Shoulder Blouse,http://www.voluptuousclothing.com/wp-content/uploads/2017/03/VOL_2774-550x825.jpg,$55.00 $38.00,$55.00 ,$38.00 ,null,null,Choose an optionBlackPink,Choose an option1X2X3X,z8323
Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,,,"Mesh Off Shoulder Bodysuit
	Sale!
	$55.00 $38.50",http://www.voluptuousclothing.com/product/mesh-off-shoulder-bodysuit/,Mesh Off Shoulder Bodysuit,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9585-700x1050.jpg,$55.00 $38.50,$55.00 ,$38.50 ,"-Off Shoulder Bodysuit
-Mesh material
-Featuring a rose motif
90% Polyester, 10 % Spandex",null,Choose an optionPink,Choose an option2X3X,z9090
Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,,,"Off Shoulder Blouse
	Sale!
	$55.00 $38.00",http://www.voluptuousclothing.com/product/black-ivory-ruffle-trim-off-shoulder-blouse/,Off Shoulder Blouse,http://www.voluptuousclothing.com/wp-content/uploads/2016/07/DSC_8764-550x824.jpg,$55.00 $38.00,$55.00 ,$38.00 ,"Simple and chic and most of all, so versatile!! Lightweight for those hot summer days, this off should blouse will definitely be one of your most popular go to pieces. ξAvailable in both black and ivory.",Fabric Contents: 100% Polyester,Choose an optionIvory,Choose an option1X2X3X,ZB8087
Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,,,"Floral Smocking Off Shoulder Blouse
	Sale!
	$55.00 $38.00",http://www.voluptuousclothing.com/product/floral-smocking-off-shoulder-blouse/,Floral Smocking Off Shoulder Blouse,http://www.voluptuousclothing.com/wp-content/uploads/2017/03/VOL_3940-550x825.jpg,$55.00 $38.00,$55.00 ,$38.00 ,#NAME?,#NAME?,Choose an optionIvory,Choose an option1X3X,T4962B
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Rhinestone Tube Maxi Dress
	Sale!
	$79.99 $49.99",http://www.voluptuousclothing.com/product/rhinestone-tube-maxi-dress/,Rhinestone Tube Maxi Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9207-1-700x1050.jpg,$79.99 $49.99,$79.99 ,$49.99 ,#NAME?,"97% Rayon, 5% Spandex",Choose an optionBlack,Choose an option1X2X3X,LD6140
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"High Rise Damaged Bermuda
	Sale!
	$69.99 $48.00",http://www.voluptuousclothing.com/product/high-rise-damaged-bermuda/,High Rise Damaged Bermuda,http://www.voluptuousclothing.com/wp-content/uploads/2017/03/VOL_3334-550x825.jpg,$69.99 $48.00,$69.99 ,$48.00 ,#NAME?,#NAME?,Choose an optionWhite,Choose an option2X3X,7003F3
,,Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,"Floral Maxi Dress
	Sale!
	$75.00 $52.50",http://www.voluptuousclothing.com/product/floral-maxi-dress-2/,Floral Maxi Dress,http://www.voluptuousclothing.com/wp-content/uploads/2017/07/VOL_9557-700x1050.jpg,$75.00 $52.50,$75.00 ,$52.50 ,"-Floral Maxi Dress
-Open back feature
-Featuring splits at sides of dress
-Mock Neckline
95% Polyester, 5% Spandex",null,Choose an optionBeige,Choose an option2X3X,ad418919-2
